YearEnd,LocationDesc,Question,Data_Value,Age_years,GeoLocation
2011,Alabama,Percent of adults aged 18 years and older who have obesity,35.2,25 - 34,"(32.840571122, -86.631860762)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,33.7,55 - 64,"(13.444304, 144.793731)"
2015,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,42.0,55 - 64,"(18.220833, -66.590149)"
2015,Puerto Rico,Percent of adults who engage in no leisure-time physical activity,50.4,45 - 54,"(18.220833, -66.590149)"
2016,Virginia,Percent of adults aged 18 years and older who have an overweight classification,40.1,35 - 44,"(37.542680674, -78.457890463)"
2016,Washington,Percent of adults who engage in no leisure-time physical activity,18.8,55 - 64,"(47.522278629, -120.47001079)"
2016,Alabama,Percent of adults aged 18 years and older who have an overweight classification,35.3,55 - 64,"(32.840571122, -86.631860762)"
2016,Puerto Rico,Percent of adults who engage in no leisure-time physical activity,44.3,45 - 54,"(18.220833, -66.590149)"
2015,Puerto Rico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),39.0,25 - 34,"(18.220833, -66.590149)"
2014,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,42.7,45 - 54,"(18.220833, -66.590149)"
2015,Guam,Percent of adults aged 18 years and older who have obesity,25.0,18 - 24,"(13.444304, 144.793731)"
2015,Guam,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,21.1,55 - 64,"(13.444304, 144.793731)"
2015,South Dakota,Percent of adults aged 18 years and older who have obesity,35.8,35 - 44,"(44.353130053, -100.373530637)"
2020,Wyoming,Percent of adults who engage in no leisure-time physical activity,24.0,55 - 64,"(43.23554134300048, -108.10983035299967)"
2016,Idaho,Percent of adults aged 18 years and older who have an overweight classification,38.4,55 - 64,"(43.682630005, -114.363730042)"
2016,Virgin Islands,Percent of adults who engage in no leisure-time physical activity,24.6,55 - 64,"(18.335765, -64.896335)"
2018,Alabama,Percent of adults aged 18 years and older who have an overweight classification,31.9,35 - 44,"(32.84057112200048, -86.63186076199969)"
2015,Puerto Rico,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.0,25 - 34,"(18.220833, -66.590149)"
2013,Puerto Rico,Percent of adults aged 18 years and older who have obesity,26.5,25 - 34,"(18.220833, -66.590149)"
2019,District of Columbia,Percent of adults aged 18 years and older who have obesity,25.9,65 or older,"(38.89037138500049, -77.03196112699965)"
2015,Guam,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),36.9,65 or older,"(13.444304, 144.793731)"
2013,Minnesota,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),52.8,65 or older,"(46.355648736, -94.794200503)"
2014,Puerto Rico,Percent of adults aged 18 years and older who have an overweight classification,41.8,65 or older,"(18.220833, -66.590149)"
2017,Colorado,Percent of adults who engage in no leisure-time physical activity,15.7,18 - 24,"(38.843840757, -106.133610921)"
2016,Wyoming,Percent of adults aged 18 years and older who have obesity,37.0,35 - 44,"(43.235541343, -108.109830353)"
2016,Colorado,Percent of adults aged 18 years and older who have obesity,26.9,45 - 54,"(38.843840757, -106.133610921)"
2016,Wyoming,Percent of adults who engage in no leisure-time physical activity,12.5,18 - 24,"(43.235541343, -108.109830353)"
2016,Virgin Islands,Percent of adults aged 18 years and older who have obesity,41.4,45 - 54,"(18.335765, -64.896335)"
2016,Kansas,Percent of adults aged 18 years and older who have obesity,36.0,35 - 44,"(38.3477403, -98.200781227)"
2016,South Carolina,Percent of adults who engage in no leisure-time physical activity,29.1,45 - 54,"(33.998821303, -81.045371207)"
2015,Guam,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,41.4,18 - 24,"(13.444304, 144.793731)"
2017,Pennsylvania,Percent of adults aged 18 years and older who have an overweight classification,39.2,45 - 54,"(40.793730152, -77.860700294)"
2017,Nebraska,Percent of adults who engage in no leisure-time physical activity,28.4,45 - 54,"(41.641040988001, -99.365720623)"
2016,Texas,Percent of adults aged 18 years and older who have obesity,30.7,25 - 34,"(31.827240407, -99.426770206)"
